state,x,y
Alabama,128,-77
Alaska,-204,-170
Arizona,-203,-40
Arkansas,52,-53
California,-301,13
Colorado,-115,20
Connecticut,292,86
Delaware,275,38
Florida,212,-145
Georgia,175,-75
Hawaii,-317,-143
Idaho,-216,122
Illinois,90,37
Indiana,127,39
Iowa,38,65
Kansas,-23,5
Kentucky,149,1
Louisiana,59,-125
Maine,315,164
Maryland,283,27
Massachusetts,296,105
Michigan,135,90
Minnesota,15,135
Mississippi,81,-83
Missouri,49,6
Montana,-141,150
Nebraska,-50,53
Nevada,-257,56
New Hampshire,298,124
New Jersey,282,61
New Mexico,-132,-43
New York,236,98
North Carolina,215,-29
North Dakota,-55,158
Ohio,176,52
Oklahoma,-8,-41
Oregon,-278,138
Pennsylvania,215,65
Rhode Island,308,94
South Carolina,210,-59
South Dakota,-52,109
Tennessee,131,-34
Texas,-38,-106
Utah,-189,34
Vermont,275,135
Virginia,234,9
Washington,-270,193
West Virginia,195,20
Wisconsin,70,113
Wyoming,-134,90
